Kontroler,RiseTime_s,SettlingTime_s,Overshoot_pct,DCgain,GainMargin_dB,PhaseMargin_deg
P,56.66552588504,188.046527440507,11.853527083976,0.942789401307817,Inf,60.0066943876379
PI,468.394727518945,1791.69435552747,12.9233026903989,1,Inf,59.999999938911
PID,550.762960556686,1907.60352701604,6.03552368972839,1,Inf,73.7825003047987
